gene_symbol,citrus_sinensis_id,arabidopsis_id,gene_description,mapman_bin,condition,condition_label,log2_fold_change_vs_healthy,direction
RLP1,orange1.1g001653m,AT1G07390,receptor like protein 1,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RLP1,orange1.1g001653m,AT1G07390,receptor like protein 1,signalling.receptor kinases.leucine rich repeat XI,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.38749,up
TIR-NBS-LRR,orange1.1g001805m,AT5G36930,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,healthy_mock,healthy/mock-inoculated control,0.0,baseline
TIR-NBS-LRR,orange1.1g001805m,AT5G36930,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.13394,up
NB-ARC,orange1.1g001860m,AT4G27190,NB-ARC domain-containing disease resistance protein,stress.biotic.PR-proteins,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NB-ARC,orange1.1g001860m,AT4G27190,NB-ARC domain-containing disease resistance protein,stress.biotic.PR-proteins,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.04933,up
TIR-NBS-LRR,orange1.1g001979m,AT5G17680,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,healthy_mock,healthy/mock-inoculated control,0.0,baseline
TIR-NBS-LRR,orange1.1g001979m,AT5G17680,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.68756,up
*,orange1.1g002055m,AT2G34930,LRR family protein,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RLP13,orange1.1g002101m,AT1G74170,receptor like protein 13,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CNGC1,orange1.1g002414m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g002533m,AT5G39000,Malectin/receptor-like protein kinase ,protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g002533m,AT5G39000,Malectin/receptor-like protein kinase ,protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.33858,up
FER,orange1.1g002533m,AT5G39000,Malectin/receptor-like protein kinase ,protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII,healthy_mock,healthy/mock-inoculated control,0.0,baseline
FER,orange1.1g002533m,AT5G39000,Malectin/receptor-like protein kinase ,protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.33858,up
*,orange1.1g002600m,AT2G34930,LRR family protein,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LOX2,orange1.1g002617m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LOX2,orange1.1g002670m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NB-ARC,orange1.1g002939m,AT4G27190,NB-ARC domain-containing disease resistance protein,stress.biotic.PR-proteins,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NB-ARC,orange1.1g002939m,AT4G27190,NB-ARC domain-containing disease resistance protein,stress.biotic.PR-proteins,mild_ctv_b2,mild Citrus tristeza virus strain B2,3.36157,up
RK3,orange1.1g002969m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g003092m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g003092m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.0717,up
*,orange1.1g003237m,AT1G11410,S-locus lectin protein kinase ,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g003368m,AT3G47570,Leucine-rich repeat protein kinase ,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g003780m,AT4G08850,Leucine-rich repeat protein kinase ,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g003786m,AT4G27290,S-locus lectin protein kinase ,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g003786m,AT4G27290,S-locus lectin protein kinase ,signalling.receptor kinases.DUF 26,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.34756,up
RLP15,orange1.1g003888m,AT1G74190,receptor like protein 15,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NB-ARC,orange1.1g003996m,AT4G27190,NB-ARC domain-containing disease resistance protein,stress.biotic,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NB-ARC,orange1.1g003996m,AT4G27190,NB-ARC domain-containing disease resistance protein,stress.biotic,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.38749,up
RLP1,orange1.1g004005m,AT1G07390,receptor like protein 1,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HAK5,orange1.1g004023m,AT4G13420,high affinity K+ transporter 5,transport.potassium,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HAK5,orange1.1g004023m,AT4G13420,high affinity K+ transporter 5,transport.potassium,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.29875,up
LHY1,orange1.1g004250m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004250m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.630218,below_threshold
LHY1,orange1.1g004250m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.66488,down
LHY1,orange1.1g004251m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004251m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.596573,below_threshold
LHY1,orange1.1g004251m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.58589,down
LHY1,orange1.1g004257m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004257m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.614483,below_threshold
LHY1,orange1.1g004257m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.57705,down
LHY1,orange1.1g004258m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004258m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.597808,below_threshold
LHY1,orange1.1g004258m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.56914,down
LHY1,orange1.1g004260m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004260m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.593318,below_threshold
LHY1,orange1.1g004260m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.61722,down
LHY1,orange1.1g004262m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004262m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.570945,below_threshold
LHY1,orange1.1g004262m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.56127,down
LOX2,orange1.1g004307m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g004416m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g004416m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.15074,up
*,orange1.1g004572m,AT4G36550,ARM repeat super family protein,protein.degradation.ubiquitin.E3.RING,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g004572m,AT4G36550,ARM repeat super family protein,protein.degradation.ubiquitin.E3.RING,mild_ctv_b2,mild Citrus tristeza virus strain B2,3.22022,up
*,orange1.1g004582m,AT4G36550,ARM repeat super family protein,protein.degradation.ubiquitin.E3.RING,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g004582m,AT4G36550,ARM repeat super family protein,protein.degradation.ubiquitin.E3.RING,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.21036,up
LHY1,orange1.1g004618m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004618m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.611462,below_threshold
LHY1,orange1.1g004618m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.72154,down
WAK2,orange1.1g004702m,AT1G21270,wall-associated kinase 2,signalling.receptor kinases.wall associated kinase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
WAK2,orange1.1g004702m,AT1G21270,wall-associated kinase 2,signalling.receptor kinases.wall associated kinase,mild_ctv_b2,mild Citrus tristeza virus strain B2,-1.43573,down
TIR-NBS-LRR,orange1.1g004707m,AT5G17680,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,healthy_mock,healthy/mock-inoculated control,0.0,baseline
TIR-NBS-LRR,orange1.1g004707m,AT5G17680,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.00882,up
LHY1,orange1.1g004715m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g004715m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.635653,below_threshold
LHY1,orange1.1g004715m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.60529,down
TIR-NBS-LRR,orange1.1g004772m,AT5G17680,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,healthy_mock,healthy/mock-inoculated control,0.0,baseline
TIR-NBS-LRR,orange1.1g004772m,AT5G17680,"disease resistance protein(TIR-NBS-LRRclass),putative",stress.biotic.PR-proteins,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.18158,up
RLP1,orange1.1g005038m,AT1G07390,receptor like protein 1,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g005206m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HSP81-1,orange1.1g005321m,AT5G52640,Heat shock protein 90.1,stress.abiotic.heat,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HSP81-1,orange1.1g005321m,AT5G52640,Heat shock protein 90.1,stress.abiotic.heat,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.62462,up
HSP81-1,orange1.1g005370m,AT5G52640,Heat shock protein 90.1,stress.abiotic.heat,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HSP81-1,orange1.1g005370m,AT5G52640,Heat shock protein 90.1,stress.abiotic.heat,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.23508,down
RK3,orange1.1g005519m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g005610m,AT3G44830,Lecithin:cholesterolacyl transferase,"lipid metabolism.'exotics' (steroids, squalene etc).phosphatidylcholinesterol O-acyltransferase",healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g005610m,AT3G44830,Lecithin:cholesterolacyl transferase,"lipid metabolism.'exotics' (steroids, squalene etc).phosphatidylcholinesterol O-acyltransferase",mild_ctv_b2,mild Citrus tristeza virus strain B2,1.30899,up
RLP15,orange1.1g005619m,AT1G74190,receptor like protein 15,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HSC70,orange1.1g005824m,AT5G02500,heat shock cognate protein 70-1,stress.abiotic.heat,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HSC70,orange1.1g005824m,AT5G02500,heat shock cognate protein 70-1,stress.abiotic.heat,severe_ctv_b6,severe Citrus tristeza virus strain B6,2.06346,up
BLH1,orange1.1g005890m,AT2G35940,BEL1-like homeo domain 1,"RNA.regulation of transcription.HB,Homeobox transcription factor family",healthy_mock,healthy/mock-inoculated control,0.0,baseline
BLH1,orange1.1g005899m,AT2G35940,BEL1-like homeo domain 1,"RNA.regulation of transcription.HB,Homeobox transcription factor family",healthy_mock,healthy/mock-inoculated control,0.0,baseline
BLH1,orange1.1g005901m,AT2G35940,BEL1-like homeo domain 1,"RNA.regulation of transcription.HB,Homeobox transcription factor family",healthy_mock,healthy/mock-inoculated control,0.0,baseline
BLH1,orange1.1g005901m,AT2G35940,BEL1-like homeo domain 1,"RNA.regulation of transcription.HB,Homeobox transcription factor family",severe_ctv_b6,severe Citrus tristeza virus strain B6,1.04051,up
PRR5,orange1.1g005920m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
PRR5,orange1.1g005920m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.59141,up
PRR5,orange1.1g005920m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,3.55894,up
LHY1,orange1.1g006139m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LHY1,orange1.1g006139m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,-0.598187,below_threshold
LHY1,orange1.1g006139m,AT1G01060,late elongated hypocotyl,RNA.regulation of transcription.MYB-related transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.6122,down
CRK2,orange1.1g006168m,AT1G70520,cysteine-rich RLK (receptor-like protein kinase) 2 ,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CRK2,orange1.1g006168m,AT1G70520,cysteine-rich RLK (receptor-like protein kinase) 2 ,signalling.receptor kinases.DUF 26,mild_ctv_b2,mild Citrus tristeza virus strain B2,4.00334,up
CSLB3,orange1.1g006357m,AT2G32530,cellulose synthase-like B3,cell wall.cellulose synthesis.cellulose synthase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CSLB3,orange1.1g006357m,AT2G32530,cellulose synthase-like B3,cell wall.cellulose synthesis.cellulose synthase,mild_ctv_b2,mild Citrus tristeza virus strain B2,3.35572,up
LOX2,orange1.1g006365m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
GALT1,orange1.1g006694m,AT1G26810,galactosyl transferase 1,"protein.glycosylation.beta-1,3-galactosyltransferase(beta-1,3-GalT)",healthy_mock,healthy/mock-inoculated control,0.0,baseline
GALT1,orange1.1g006694m,AT1G26810,galactosyl transferase 1,"protein.glycosylation.beta-1,3-galactosyltransferase(beta-1,3-GalT)",mild_ctv_b2,mild Citrus tristeza virus strain B2,2.45762,up
SOBIR1,orange1.1g006739m,AT2G31880,Leucine-rich repeat protein kinase ,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
EBF2,orange1.1g006749m,AT2G25490 ,EIN3-bindingFboxprotein2,protein.degradation.ubiquitin.E3.SCF.FBOX,healthy_mock,healthy/mock-inoculated control,0.0,baseline
EBF2,orange1.1g006749m,AT2G25490 ,EIN3-bindingFboxprotein2,protein.degradation.ubiquitin.E3.SCF.FBOX,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.2,down
EBF2,orange1.1g006794m,AT2G25490,EIN3-bindingFboxprotein2,protein.degradation.ubiquitin.E3.SCF.FBOX,healthy_mock,healthy/mock-inoculated control,0.0,baseline
EBF2,orange1.1g006794m,AT2G25490,EIN3-bindingFboxprotein2,protein.degradation.ubiquitin.E3.SCF.FBOX,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.5,down
CNGC1,orange1.1g006857m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g006915m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
RK3,orange1.1g006915m,AT4G21380,receptor kinase 3,signalling.receptor kinases.DUF 26,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.23928,up
LOX2,orange1.1g006999m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
BIR1,orange1.1g007088m,AT5G48380,BAK1-interacting receptor-like kinase 1,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
BIR1,orange1.1g007088m,AT5G48380,BAK1-interacting receptor-like kinase 1,signalling.receptor kinases.leucine rich repeat XI,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.30437,up
*,orange1.1g007154m,AT4G27290,S-locus lectin protein kinase ,signalling.receptor kinases.DUF 26,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g007154m,AT4G27290,S-locus lectin protein kinase ,signalling.receptor kinases.DUF 26,severe_ctv_b6,severe Citrus tristeza virus strain B6,1.74296,up
CAT1,orange1.1g007398m,AT4G21120,amino acid transporter 1,transport.amino acids,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CAT1,orange1.1g007398m,AT4G21120,amino acid transporter 1,transport.amino acids,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.06562,up
PRR5,orange1.1g007462m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
PRR5,orange1.1g007462m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,3.34256,up
PRR5,orange1.1g007462m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,4.08954,up
HSP81-1,orange1.1g007669m,AT5G52640,Heat shock protein 90.1,stress.abiotic.heat,healthy_mock,healthy/mock-inoculated control,0.0,baseline
HSP81-1,orange1.1g007669m,AT5G52640,Heat shock protein 90.1,stress.abiotic.heat,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.19566,down
LOX2,orange1.1g007674m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LOX2,orange1.1g007678m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NPR3,orange1.1g007849m,AT5G45110,NPR1-like protein 3,cell.organisation,healthy_mock,healthy/mock-inoculated control,0.0,baseline
TPS14,orange1.1g007889m,AT1G61680,terpene synthase 14,secondary metabolism.isoprenoids.terpenoids,healthy_mock,healthy/mock-inoculated control,0.0,baseline
TPS14,orange1.1g007889m,AT1G61680,terpene synthase 14,secondary metabolism.isoprenoids.terpenoids,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.44434,up
LAC5,orange1.1g008066m,AT2G40370,laccase5,secondary metabolism.simple phenols,healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g008163m,AT1G12570,Glucose-methanol-choline(GMC)oxidoreductase,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases",healthy_mock,healthy/mock-inoculated control,0.0,baseline
*,orange1.1g008281m,AT1G12570,Glucose-methanol-choline(GMC)oxidoreductase,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases",healthy_mock,healthy/mock-inoculated control,0.0,baseline
LAC7,orange1.1g008366m,AT3G09220,laccase7,secondary metabolism.simple phenols,healthy_mock,healthy/mock-inoculated control,0.0,baseline
OPT1,orange1.1g008570m,AT5G55930,oligo peptide transporter 1,transport.peptides and oligopeptides,healthy_mock,healthy/mock-inoculated control,0.0,baseline
OPT1,orange1.1g008570m,AT5G55930,oligo peptide transporter 1,transport.peptides and oligopeptides,severe_ctv_b6,severe Citrus tristeza virus strain B6,-1.18052,down
CNGC1,orange1.1g008614m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CNGC1,orange1.1g008614m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,severe_ctv_b6,severe Citrus tristeza virus strain B6,2.85144,up
CNGC1,orange1.1g008614m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,healthy_mock,healthy/mock-inoculated control,0.0,baseline
LOX2,orange1.1g008659m,AT3G45140,lipoxygenase2,hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CNGC1,orange1.1g008660m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CNGC1,orange1.1g008660m,AT5G53130,cyclic nucleotide gated channel 1,transport.cyclic nucleotide or calcium regulated channels,severe_ctv_b6,severe Citrus tristeza virus strain B6,2.80235,up
*,orange1.1g008675m,AT1G12570,Glucose-methanol-choline(GMC)oxidoreductase,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases",healthy_mock,healthy/mock-inoculated control,0.0,baseline
LAC4,orange1.1g008799m,AT2G38080,Laccase/Diphenol oxidase familyprotein,secondary metabolism.simple phenols,healthy_mock,healthy/mock-inoculated control,0.0,baseline
PLT5,orange1.1g009185m,AT3G18830,polyol/mono saccharide transporter 5,transport.sugars,healthy_mock,healthy/mock-inoculated control,0.0,baseline
PLT5,orange1.1g009185m,AT3G18830,polyol/mono saccharide transporter 5,transport.sugars,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.07844,up
*,orange1.1g009272m,AT1G12570,Glucose-methanol-choline(GMC)oxidoreductase,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases",healthy_mock,healthy/mock-inoculated control,0.0,baseline
PMEI,orange1.1g009418m,AT5G20860,Plant invertase/pectinmethyl esterase inhibitor,cell wall.pectin*esterases.PME,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CYP706A4,orange1.1g009495m,AT4G12300,"cytochromeP450,family706,subfamilyA,polypeptide4",misc.cytochrome P450,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CYP706A4,orange1.1g009495m,AT4G12300,"cytochromeP450,family706,subfamilyA,polypeptide4",misc.cytochrome P450,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.51387,up
CYP706A4,orange1.1g009495m,AT4G12300,"cytochromeP450,family706,subfamilyA,polypeptide4",misc.cytochrome P450,severe_ctv_b6,severe Citrus tristeza virus strain B6,3.46565,up
NB-ARC,orange1.1g009534m,AT1G12280,LRR and NB-ARC domains-containing disease resistance protein,stress.biotic,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NB-ARC,orange1.1g009534m,AT1G12280,LRR and NB-ARC domains-containing disease resistance protein,stress.biotic,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.18158,up
BGLU46,orange1.1g009535m,AT1G61820,betaglucosidase46,"misc.gluco-, galacto- and mannosidases",healthy_mock,healthy/mock-inoculated control,0.0,baseline
PMEI,orange1.1g009545m,AT5G20860,Plant invertase/pectinmethyl esterase inhibitor,cell wall.pectin*esterases.PME,healthy_mock,healthy/mock-inoculated control,0.0,baseline
NPR3,orange1.1g009554m,AT5G45110,NPR1-like protein 3,cell.organisation,healthy_mock,healthy/mock-inoculated control,0.0,baseline
PMEI,orange1.1g009682m,AT5G20860,Plant invertase/pectinmethyl esterase inhibitor,cell wall.pectin*esterases.PME,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CYP82C4,orange1.1g009723m,AT4G31940,"cytochromeP450,family82,subfamilyC,polypeptide4",misc.cytochrome P453,healthy_mock,healthy/mock-inoculated control,0.0,baseline
CYP82C4,orange1.1g009723m,AT4G31940,"cytochromeP450,family82,subfamilyC,polypeptide4",misc.cytochrome P453,mild_ctv_b2,mild Citrus tristeza virus strain B2,1.2893,up
PRR5,orange1.1g009734m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,healthy_mock,healthy/mock-inoculated control,0.0,baseline
PRR5,orange1.1g009734m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,mild_ctv_b2,mild Citrus tristeza virus strain B2,3.10821,up
PRR5,orange1.1g009734m,AT5G24470,pseudo-response regulator 5,RNA.regulation of transcription.Psudo ARR transcription factor family,severe_ctv_b6,severe Citrus tristeza virus strain B6,3.96658,up
